transaction_id,customer_id,card_id,transaction_type,transaction_date_time,transaction_amount,currency,mcc,description,account_type,account_balance,card_type,card_number_masked,card_expiration_date,card_issuer,cardholder_name,merchant_id,merchant_name,merchant_location,merchant_terminal_id,payment_method,payment_channel,geolocation,authorization_code,authentication_method,3d_secure_status,fraud_risk_score,transaction_status,failure_reason,exchange_rate,rewards_earned,ip_address,device_id,user_agent,session_id,referral_source,kyc_full_name,kyc_customer_since,kyc_closed_false_positive_alerts,kyc_frequent_connection_country,kyc_south_sudan_ip_percentage
643c2051-f275-4c25-ba3e-29120d653224,ce7dad5a-ae71-4682-a802-fb87e5efb4d4,866107fe-0f87-4127-9bf7-f55265033703,NFC,2024-11-05 06:51:18,312.31,GBP,5999,Trading Export Company,personal,3128.43,MasterCard,**** **** **** 4942,12/27,Barclays,DDD,deeb5de2-917f-490b-93dc-57d301b75e4b,South Sudan Trading Export,"{'city': 'New Thomasshire', 'state': None, 'country': 'South Sudan'}",T1937,NFC,POS,"{'latitude': Decimal('14.2731445'), 'longitude': Decimal('44.250104')}",101605,PIN,,0,approved,,,8,208.196.182.128,460e31cf-d2c1-4b30-8f88-efeb99a03867,"Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/532.41.1 (KHTML, like Gecko) Version/4.0.3 Safari/532.41.1",f99d6e16-1a4c-4dc3-b08b-766fd84ced14,direct,DDD,2004-11-18,50,South Sudan,10
5ce8329f-4ad0-4237-8bce-cc5007f46bd1,ce7dad5a-ae71-4682-a802-fb87e5efb4d4,00cf4556-1941-40c0-b4ff-4961e769016b,NFC,2024-10-31 20:42:22,2274.85,GBP,5999,Trading Export Company,personal,1165.43,MasterCard,**** **** **** 8035,04/31,NatWest,DDD,ec296197-6027-40ae-afe9-8fb1e1d22980,South Sudan Trading Export,"{'city': 'East Tylerton', 'state': None, 'country': 'South Sudan'}",T1736,NFC,POS,"{'latitude': Decimal('66.613050'), 'longitude': Decimal('-146.716887')}",665509,PIN,,1,approved,,,1,163.40.206.200,17cb09f1-0a36-4122-82c9-915b1a8f599d,Opera/8.89.(Windows NT 6.0; byn-ER) Presto/2.9.181 Version/12.00,22bbe0b4-1106-4c84-8319-5cc6aafe4d95,direct,DDD,2004-11-18,50,South Sudan,10
2a21c2c3-b237-4e99-aa22-de81a49c3491,ce7dad5a-ae71-4682-a802-fb87e5efb4d4,866107fe-0f87-4127-9bf7-f55265033703,POS,2024-05-24 11:55:57,3630.44,GBP,5411,Fuel,personal,3933.21,Visa,**** **** **** 2988,03/32,Barclays,DDD,02079049-446e-4c6e-bb8a-a977a3217c71,Davidson-Le,"{'city': 'Markhaven', 'state': 'MH', 'country': 'UK'}",T6458,NFC,POS,"{'latitude': Decimal('50.587695'), 'longitude': Decimal('-124.282583')}",275960,PIN,,10,approved,,,10,,,,8e252933-5788-49b0-baf3-c413cf288fed,email,DDD,2004-11-18,50,South Sudan,10
91670d60-604e-4eb8-acd7-84c490767b1f,ce7dad5a-ae71-4682-a802-fb87e5efb4d4,866107fe-0f87-4127-9bf7-f55265033703,POS,2024-08-15 10:07:08,1166.72,GBP,5999,Grocery,personal,6003.03,Visa,**** **** **** 4026,07/25,Barclays,DDD,fe3921f0-f56a-46a3-9a27-5880a051901c,"Johnson, Wilson and Jordan","{'city': 'Jacquelineshire', 'state': 'OR', 'country': 'UK'}",T8295,swipe,POS,"{'latitude': Decimal('31.943226'), 'longitude': Decimal('-16.417782')}",156362,PIN,,1,approved,,,5,,,,40d53448-cc1f-4c92-b3ef-7dc257e68b12,social media,DDD,2004-11-18,50,South Sudan,10
96585985-d68a-4c6e-b200-e2b8d6a06ea2,ce7dad5a-ae71-4682-a802-fb87e5efb4d4,866107fe-0f87-4127-9bf7-f55265033703,POS,2024-09-17 16:51:52,1128.28,GBP,5735,Fuel,personal,2372.22,Visa,**** **** **** 8578,08/28,Barclays,DDD,61540508-b73d-4799-a9e4-5df17b2bd214,Davis-Myers,"{'city': 'North Catherineberg', 'state': 'NM', 'country': 'UK'}",T4727,NFC,POS,"{'latitude': Decimal('-52.414626'), 'longitude': Decimal('-116.756495')}",252566,PIN,,18,approved,,,2,,,,c27128fa-7072-4d1b-946b-4cce4fe3d034,social media,DDD,2004-11-18,50,South Sudan,10
ea9bd1e6-f996-48b3-a676-0144bbd59c78,ce7dad5a-ae71-4682-a802-fb87e5efb4d4,866107fe-0f87-4127-9bf7-f55265033703,POS,2024-06-01 14:34:27,4607.89,GBP,5812,Grocery,personal,4658.5,Visa,**** **** **** 9218,10/33,Barclays,DDD,4431eb9a-b62e-4f5d-bad7-50bad04a9b4c,"Kelly, Holmes and Stark","{'city': 'Shermanhaven', 'state': 'TX', 'country': 'UK'}",T1121,chip,POS,"{'latitude': Decimal('-85.8297805'), 'longitude': Decimal('-70.400925')}",838153,PIN,,14,approved,,,4,,,,c7db82ef-0aaa-4e7c-a773-589ac97c12fa,email,DDD,2004-11-18,50,South Sudan,10
8dfc1461-8d30-4f1e-ac15-f7281e34cdbd,ce7dad5a-ae71-4682-a802-fb87e5efb4d4,866107fe-0f87-4127-9bf7-f55265033703,POS,2024-06-14 20:14:47,1078.26,GBP,5921,Fuel,personal,2575.3,Visa,**** **** **** 5424,01/33,Barclays,DDD,115c1357-189e-4f8c-8ad3-64b47c44e959,Oconnor and Sons,"{'city': 'East Mark', 'state': 'IA', 'country': 'UK'}",T7231,swipe,POS,"{'latitude': Decimal('-41.485876'), 'longitude': Decimal('139.982761')}",303784,PIN,,20,approved,,,7,,,,6d994715-2dbf-49ae-a6ce-ca085eb97e42,email,DDD,2004-11-18,50,South Sudan,10
0099acf7-5935-4f30-934d-7f7b27f30d3e,ce7dad5a-ae71-4682-a802-fb87e5efb4d4,00cf4556-1941-40c0-b4ff-4961e769016b,POS,2024-06-06 09:45:18,3218.81,GBP,5812,Shopping,personal,6282.84,Visa,**** **** **** 8913,05/32,NatWest,DDD,8b1466bd-12df-4d37-8992-e92486751869,"Mann, Cline and Jackson","{'city': 'Mckeeville', 'state': 'MN', 'country': 'UK'}",T3249,NFC,POS,"{'latitude': Decimal('83.633543'), 'longitude': Decimal('18.445988')}",277589,PIN,,8,approved,,,6,,,,958ac4bd-d1f5-46df-9ca0-c82010cd271d,direct,DDD,2004-11-18,50,South Sudan,10
713caab0-335d-42b4-a90b-17a9e8aa9488,ce7dad5a-ae71-4682-a802-fb87e5efb4d4,866107fe-0f87-4127-9bf7-f55265033703,POS,2024-07-29 02:19:42,2566.28,GBP,5812,Grocery,personal,8453.69,Visa,**** **** **** 8348,11/29,Barclays,DDD,67d7c305-21ed-4363-964e-787ae806d7c8,Harris Inc,"{'city': 'Lopezmouth', 'state': 'NV', 'country': 'UK'}",T1364,swipe,POS,"{'latitude': Decimal('19.2275885'), 'longitude': Decimal('-105.487552')}",151451,PIN,,14,approved,,,3,,,,c659f183-e904-4b4e-94e1-fa07f726321c,email,DDD,2004-11-18,50,South Sudan,10
5f49fd92-b28c-4a1c-b9c5-0fb3bbe6f642,ce7dad5a-ae71-4682-a802-fb87e5efb4d4,00cf4556-1941-40c0-b4ff-4961e769016b,POS,2024-09-13 21:56:30,4872.81,GBP,5812,Grocery,personal,5605.32,Visa,**** **** **** 5112,09/31,NatWest,DDD,a74a0e76-221f-43c1-a694-f8e0fffd83fd,Bruce Inc,"{'city': 'Matthewshire', 'state': 'MI', 'country': 'UK'}",T5660,NFC,POS,"{'latitude': Decimal('39.9985205'), 'longitude': Decimal('-39.087776')}",826217,PIN,,1,approved,,,5,,,,b80ea5ed-48ee-4b7e-8bcc-376261fde108,email,DDD,2004-11-18,50,South Sudan,10
