transaction_id,customer_id,card_id,transaction_type,transaction_date_time,transaction_amount,currency,mcc,description,account_type,account_balance,card_type,card_number_masked,card_expiration_date,card_issuer,cardholder_name,merchant_id,merchant_name,merchant_location,merchant_terminal_id,payment_method,payment_channel,geolocation,authorization_code,authentication_method,3d_secure_status,fraud_risk_score,transaction_status,failure_reason,exchange_rate,rewards_earned,ip_address,device_id,user_agent,session_id,referral_source,kyc_full_name,kyc_date_of_birth,kyc_nationality,kyc_id_type,kyc_id_number,kyc_id_issuing_country,kyc_id_expiration_date,kyc_address,kyc_phone_number,kyc_email,kyc_occupation,kyc_employer_name,kyc_source_of_funds,kyc_annual_income_range,kyc_pep_status,kyc_aml_risk_score,sender_name,sender_account_number,sender_bank,sender_location,source
0899f11f-48ba-4b85-af71-0ba7b0bf9184,5cfdd67b-2ddd-4d90-b364-12e42de7522b,e14b99c6-59fe-45be-8d9c-ffeff3331500,POS,2024-10-15 19:50:37,671.12,GBP,5735,Restaurant,saving,9670.02,Visa,**** **** **** 4250,11/31,CitiBank,Caitlyn Larson,f4ad8ca6-b352-44e2-9ae3-605ca9e4b1ad,Baker-Hanson,"{'city': 'Williamstown', 'state': 'WY', 'country': 'UK'}",T7327,chip,POS,"{'latitude': Decimal('74.371916'), 'longitude': Decimal('12.014736')}",433066,password,,26,failed,insufficient funds,,5,,,,b65444b6-f75f-47ad-b49c-cc83dc8c8fbb,email,Caitlyn Larson,2004-02-26,Liberia,Driver's License,7b436c41,Paraguay,2033-08-22,"3922 Matthew Groves
Dannytown, IA 55833",(301)949-7666x18899,monicahuber@example.org,Glass blower/designer,Douglas Group,salary,<20k,True,67.0,,,,,
6a479aef-5aae-4619-abd4-f57662026b5f,5cfdd67b-2ddd-4d90-b364-12e42de7522b,e14b99c6-59fe-45be-8d9c-ffeff3331500,POS,2024-11-06 06:17:07,759.07,GBP,5812,Restaurant,credit,1361.35,Visa,**** **** **** 3531,07/27,CitiBank,Caitlyn Larson,16707d79-4e28-4b67-8977-2530aa3775f3,"Shelton, Adams and Maxwell","{'city': 'Melodyberg', 'state': 'PW', 'country': 'UK'}",T1265,chip,POS,"{'latitude': Decimal('66.9968025'), 'longitude': Decimal('40.282651')}",226905,password,,67,approved,insufficient funds,,8,,,,e2696bb7-e1c7-49b4-9b44-81e218ebc6d8,direct,Caitlyn Larson,2004-02-26,Liberia,Driver's License,7b436c41,Paraguay,2033-08-22,"3922 Matthew Groves
Dannytown, IA 55833",(301)949-7666x18899,monicahuber@example.org,Glass blower/designer,Douglas Group,salary,<20k,True,67.0,,,,,
8514df95-d4bd-447f-b4a3-8d99e5cf31e6,1c209e56-e485-4cbe-98e7-0c51ee825663,ddd05dc2-d5b3-4859-a369-1631018414ea,POS,2024-11-05 11:17:38,261.58,GBP,5999,Electronics,saving,1930.39,Visa,**** **** **** 8518,08/28,Bank of America,Mark Thomas,801ed577-6619-4d97-a038-271768e72505,"Barnes, Parker and Evans","{'city': 'Port Sean', 'state': 'RI', 'country': 'UK'}",T4648,swipe,POS,"{'latitude': Decimal('-42.342958'), 'longitude': Decimal('-143.631832')}",506174,biometric,,1,failed,technical error,,8,,,,7f56479e-de70-454f-ac7c-c554857f40dc,email,Mark Thomas,1951-11-11,Antarctica (the territory South of 60 deg S),Driver's License,230e18b5,Kuwait,2032-09-20,"0158 Natalie Coves Suite 189
New Ashley, IA 14944",249.624.2080,jacquelinestokes@example.com,Curator,Fisher-Wilson,investment,<20k,True,63.0,,,,,
a8893d96-8813-456e-ab94-981273f5f4d2,5cfdd67b-2ddd-4d90-b364-12e42de7522b,e14b99c6-59fe-45be-8d9c-ffeff3331500,online,2024-10-27 06:01:04,283.48,GBP,5812,Gas,saving,7264.63,Visa,**** **** **** 8389,05/30,CitiBank,Caitlyn Larson,2e782a8c-1b43-40dc-b231-e862922d567f,Edwards-Miller,"{'city': 'West Rodney', 'state': 'FM', 'country': 'UK'}",T3476,CNP,online,"{'latitude': Decimal('-62.6120965'), 'longitude': Decimal('7.667551')}",863317,PIN,Passed,62,pending,technical error,,10,32.208.143.225,ed2f0773-dfce-4967-90ce-a81d9d0d1646,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/3.0),e6628d1e-aa56-4f07-9be3-ddefbd71e93b,email,Caitlyn Larson,2004-02-26,Liberia,Driver's License,7b436c41,Paraguay,2033-08-22,"3922 Matthew Groves
Dannytown, IA 55833",(301)949-7666x18899,monicahuber@example.org,Glass blower/designer,Douglas Group,salary,<20k,True,67.0,,,,,
68449b2e-fb2c-4052-aa99-4940d909f6a4,5cfdd67b-2ddd-4d90-b364-12e42de7522b,e14b99c6-59fe-45be-8d9c-ffeff3331500,online,2024-10-29 17:05:22,30.91,GBP,5921,Electronics,credit,4441.03,Visa,**** **** **** 2030,05/29,CitiBank,Caitlyn Larson,c1c17103-3e31-4691-9650-665c2c65d19e,"Cox, Rogers and Cook","{'city': 'Jamesland', 'state': 'OR', 'country': 'UK'}",T2103,CNP,online,"{'latitude': Decimal('45.545172'), 'longitude': Decimal('-155.084348')}",216632,biometric,Passed,86,pending,fraud detected,,2,202.247.167.173,d8ab2a3d-2a53-4526-988f-44cefe16ae69,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/5.0),722aae0d-28fd-4633-8c31-faaed29cd56f,social media,Caitlyn Larson,2004-02-26,Liberia,Driver's License,7b436c41,Paraguay,2033-08-22,"3922 Matthew Groves
Dannytown, IA 55833",(301)949-7666x18899,monicahuber@example.org,Glass blower/designer,Douglas Group,salary,<20k,True,67.0,,,,,
ba062b26-8fb4-4eb9-9e32-6482e375fdc5,1c209e56-e485-4cbe-98e7-0c51ee825663,ddd05dc2-d5b3-4859-a369-1631018414ea,mobile_app,2024-10-29 01:06:05,558.07,GBP,5812,Clothing,debit,4058.83,Visa,**** **** **** 7574,09/29,Bank of America,Mark Thomas,801ed577-6619-4d97-a038-271768e72505,"Barnes, Parker and Evans","{'city': 'Port Sean', 'state': 'RI', 'country': 'UK'}",T4648,CNP,mobile_app,"{'latitude': Decimal('-30.0410665'), 'longitude': Decimal('-157.246304')}",977873,PIN,,45,failed,insufficient funds,,7,76.226.130.195,ed8d9184-230e-421c-8ed1-d1f37beb1776,,98b40309-c8ae-413c-94f8-241912d2c55f,referral,Mark Thomas,1951-11-11,Antarctica (the territory South of 60 deg S),Driver's License,230e18b5,Kuwait,2032-09-20,"0158 Natalie Coves Suite 189
New Ashley, IA 14944",249.624.2080,jacquelinestokes@example.com,Curator,Fisher-Wilson,investment,<20k,True,63.0,,,,,
eab6595f-6ec0-4c08-aec4-1375635bfbc7,1c209e56-e485-4cbe-98e7-0c51ee825663,ddd05dc2-d5b3-4859-a369-1631018414ea,POS,2024-10-23 17:52:33,580.4,GBP,5999,Clothing,debit,4135.6,Visa,**** **** **** 5312,12/27,Bank of America,Mark Thomas,2e782a8c-1b43-40dc-b231-e862922d567f,Edwards-Miller,"{'city': 'West Rodney', 'state': 'FM', 'country': 'UK'}",T3476,swipe,POS,"{'latitude': Decimal('-86.8847645'), 'longitude': Decimal('37.480299')}",209525,password,,34,failed,technical error,,5,,,,b9945551-5ade-4d66-b904-1964fc63a285,referral,Mark Thomas,1951-11-11,Antarctica (the territory South of 60 deg S),Driver's License,230e18b5,Kuwait,2032-09-20,"0158 Natalie Coves Suite 189
New Ashley, IA 14944",249.624.2080,jacquelinestokes@example.com,Curator,Fisher-Wilson,investment,<20k,True,63.0,,,,,
8cb10b1b-9442-4eec-afb9-5d08e138477d,1c209e56-e485-4cbe-98e7-0c51ee825663,c96430e7-fcd7-4c16-b7e5-ddc73795cbec,online,2024-10-23 11:56:34,437.6,GBP,5411,Electronics,debit,9402.39,Visa,**** **** **** 5584,09/33,CitiBank,Mark Thomas,0f148842-b4aa-4adf-abba-7d533063a7e7,"Martinez, Sullivan and Foster","{'city': 'South Kaitlyn', 'state': 'IA', 'country': 'UK'}",T2474,CNP,online,"{'latitude': Decimal('-25.556585'), 'longitude': Decimal('-50.130206')}",154618,password,Passed,59,approved,fraud detected,,6,53.192.30.56,af8d0d44-ea4f-45e5-87f1-f30a7514eb00,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_9; rv:1.9.4.20) Gecko/4079-11-21 10:36:10 Firefox/3.6.6,21a0ad25-6ce8-4907-994d-f6c558bbb5ff,email,Mark Thomas,1951-11-11,Antarctica (the territory South of 60 deg S),Driver's License,230e18b5,Kuwait,2032-09-20,"0158 Natalie Coves Suite 189
New Ashley, IA 14944",249.624.2080,jacquelinestokes@example.com,Curator,Fisher-Wilson,investment,<20k,True,63.0,,,,,
73e82f20-c7e9-46ed-b11c-513d05370790,5cfdd67b-2ddd-4d90-b364-12e42de7522b,e14b99c6-59fe-45be-8d9c-ffeff3331500,online,2024-11-05 07:35:53,50.33,GBP,5999,Clothing,credit,5540.16,Visa,**** **** **** 8001,01/28,CitiBank,Caitlyn Larson,2e782a8c-1b43-40dc-b231-e862922d567f,Edwards-Miller,"{'city': 'West Rodney', 'state': 'FM', 'country': 'UK'}",T3476,CNP,online,"{'latitude': Decimal('-82.4422215'), 'longitude': Decimal('169.214352')}",486695,PIN,Failed,42,pending,,,4,188.141.118.113,6e73f05d-6538-4756-87d7-c763ef563d8b,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; el-CY) AppleWebKit/534.9.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6534.9.6",ffcc760d-3439-4d3d-b0a4-4889eba81312,referral,Caitlyn Larson,2004-02-26,Liberia,Driver's License,7b436c41,Paraguay,2033-08-22,"3922 Matthew Groves
Dannytown, IA 55833",(301)949-7666x18899,monicahuber@example.org,Glass blower/designer,Douglas Group,salary,<20k,True,67.0,,,,,
1834b999-d565-42e9-9ba4-63268d6fb082,5cfdd67b-2ddd-4d90-b364-12e42de7522b,e14b99c6-59fe-45be-8d9c-ffeff3331500,POS,2024-10-17 10:08:40,194.58,GBP,5999,Grocery,debit,231.19,Visa,**** **** **** 7712,09/26,CitiBank,Caitlyn Larson,d9fe4d8b-0943-46ed-8efd-944f22e78654,Shelton-Walsh,"{'city': 'Cassieside', 'state': 'OR', 'country': 'UK'}",T2859,chip,POS,"{'latitude': Decimal('-46.6425345'), 'longitude': Decimal('108.426472')}",537821,biometric,,30,failed,,,0,,,,54ea0512-2021-4eed-b4fb-c400bdff047c,social media,Caitlyn Larson,2004-02-26,Liberia,Driver's License,7b436c41,Paraguay,2033-08-22,"3922 Matthew Groves
Dannytown, IA 55833",(301)949-7666x18899,monicahuber@example.org,Glass blower/designer,Douglas Group,salary,<20k,True,67.0,,,,,
