transaction_id,customer_id,card_id,transaction_type,transaction_date_time,transaction_amount,currency,mcc,description,account_type,account_balance,card_type,card_number_masked,card_expiration_date,card_issuer,cardholder_name,merchant_id,merchant_name,merchant_location,merchant_terminal_id,payment_method,payment_channel,geolocation,authorization_code,authentication_method,3d_secure_status,fraud_risk_score,transaction_status,failure_reason,exchange_rate,rewards_earned,ip_address,device_id,user_agent,session_id,referral_source,kyc_full_name,kyc_date_of_birth,kyc_nationality,kyc_id_type,kyc_id_number,kyc_id_issuing_country,kyc_id_expiration_date,kyc_address,kyc_phone_number,kyc_email,kyc_occupation,kyc_employer_name,kyc_source_of_funds,kyc_annual_income_range,kyc_pep_status,kyc_aml_risk_score,kyc_closed_false_positive_alerts,kyc_customer_since,kyc_frequent_connection_country,companies_directed,sender_name,sender_account_number,sender_bank,sender_location,source
000cc696-7435-4099-bfb6-92288cd1d5e9,e68a6a78-121d-4017-a7c3-83a0cfc9d0c5,ca8541e3-c8a4-4bda-b5f0-3c519f145e13,POS,2024-11-06 10:46:29,490.74,GBP,5999,Gas,debit,4327.81,Visa,**** **** **** 1490,05/25,Wells Fargo,David Hill,3bc0cb86-d1f0-4da6-88e8-471eafea60a4,Herring and Sons,"{'city': 'Aaronbury', 'state': 'OR', 'country': 'UK'}",T5268,NFC,POS,"{'latitude': Decimal('5.795056'), 'longitude': Decimal('37.451516')}",989219,PIN,,11,approved,,,4.0,,,,e4d0b685-cdfc-4692-bbf1-35fd2acfe62e,email,David Hill,1999-03-08,UK,Passport,bb62ddfa,UK,2033-10-06,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,True,85.0,2.0,2023-11-14,China,,,,,,
dc0141c6-e7f3-450c-ac9c-06d297a1f413,e68a6a78-121d-4017-a7c3-83a0cfc9d0c5,284a2b1d-bfbc-4873-bf2f-ed662847f6fd,POS,2024-10-26 08:34:43,351.25,GBP,5921,Grocery,debit,4959.44,Visa,**** **** **** 3206,11/29,Wells Fargo,David Hill,5e0e4b59-b03b-4ac9-bee0-035d82d094cf,Ray-Benson,"{'city': 'Port Davidton', 'state': 'ME', 'country': 'UK'}",T7295,NFC,POS,"{'latitude': Decimal('-38.114983'), 'longitude': Decimal('128.246797')}",360055,PIN,,7,approved,,,2.0,,,,c900016b-6138-4ae3-9605-05b13ad10f1c,referral,David Hill,1999-03-08,UK,Passport,bb62ddfa,UK,2033-10-06,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,True,85.0,0.0,2020-11-14,China,,,,,,
dea9919e-78f8-4c5c-aebb-11c2ef2575c9,e68a6a78-121d-4017-a7c3-83a0cfc9d0c5,ca8541e3-c8a4-4bda-b5f0-3c519f145e13,POS,2024-11-12 07:10:52,655.32,GBP,5735,Electronics,debit,3588.49,Visa,**** **** **** 8345,04/33,Wells Fargo,David Hill,0e845604-86b0-40bd-b347-91d9f899e7df,Henry-Lewis,"{'city': 'New Kelli', 'state': 'IN', 'country': 'UK'}",T5102,NFC,POS,"{'latitude': Decimal('-19.316753'), 'longitude': Decimal('-42.211604')}",103007,PIN,,13,approved,,,8.0,,,,30497209-10cf-4cfd-98a3-b677769464d5,referral,David Hill,1999-03-08,UK,Passport,bb62ddfa,UK,2033-10-06,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,True,85.0,1.0,2021-11-14,China,,,,,,
367dd824-e7ab-47dd-a02b-8237c3da0662,e68a6a78-121d-4017-a7c3-83a0cfc9d0c5,ca8541e3-c8a4-4bda-b5f0-3c519f145e13,POS,2024-10-16 18:56:59,555.74,GBP,5812,Restaurant,debit,2993.65,Visa,**** **** **** 5684,09/25,Wells Fargo,David Hill,3dc0afe5-a8a1-4fcf-a698-a3810b16df85,Dyer-Leonard,"{'city': 'New Kristopher', 'state': 'RI', 'country': 'UK'}",T9578,NFC,POS,"{'latitude': Decimal('55.331278'), 'longitude': Decimal('-178.149582')}",486116,PIN,,9,approved,,,1.0,,,,92d09df9-a8e8-423c-b336-05e376e99c57,social media,David Hill,1999-03-08,UK,Passport,bb62ddfa,UK,2033-10-06,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,True,85.0,0.0,2023-11-14,China,,,,,,
03b806d6-7750-494a-9272-8a6b55dffc5b,e68a6a78-121d-4017-a7c3-83a0cfc9d0c5,284a2b1d-bfbc-4873-bf2f-ed662847f6fd,POS,2024-10-31 01:51:53,282.65,GBP,5812,Restaurant,debit,2816.21,Visa,**** **** **** 7553,10/28,Wells Fargo,David Hill,2c10baff-5768-40e4-957b-d0c945f5cd52,Powell LLC,"{'city': 'Andradetown', 'state': 'WV', 'country': 'UK'}",T7199,chip,POS,"{'latitude': Decimal('89.5423165'), 'longitude': Decimal('167.472823')}",107794,PIN,,15,approved,,,8.0,,,,f58bc220-533b-4096-81ad-980157f7fcff,direct,David Hill,1999-03-08,UK,Passport,bb62ddfa,UK,2033-10-06,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,True,85.0,1.0,2023-11-14,China,,,,,,
84b4b1a7-d1eb-4334-82a1-61ffc13a1254,e68a6a78-121d-4017-a7c3-83a0cfc9d0c5,284a2b1d-bfbc-4873-bf2f-ed662847f6fd,POS,2024-11-11 02:53:01,520.4,GBP,5999,Grocery,debit,4478.59,Visa,**** **** **** 5541,01/29,Wells Fargo,David Hill,fb03a03e-c4d0-4edf-b2d3-374af27e1742,"Williams, Phillips and Reeves","{'city': 'Ronaldfort', 'state': 'AK', 'country': 'UK'}",T1290,NFC,POS,"{'latitude': Decimal('-26.603353'), 'longitude': Decimal('-22.749020')}",506154,PIN,,15,approved,,,3.0,,,,8e0d38d7-29b7-48b8-9992-6891d3659375,referral,David Hill,1999-03-08,UK,Passport,bb62ddfa,UK,2033-10-06,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,True,85.0,0.0,2022-11-14,China,,,,,,
af8e371e-66d6-48d8-b313-2da485c825a2,e68a6a78-121d-4017-a7c3-83a0cfc9d0c5,ca8541e3-c8a4-4bda-b5f0-3c519f145e13,POS,2024-11-08 00:00:53,954.35,GBP,5999,Restaurant,debit,2310.04,Visa,**** **** **** 5582,10/25,Wells Fargo,David Hill,1e2f5753-de94-4052-8913-e4c34d34a719,Briggs-Munoz,"{'city': 'East Michaelport', 'state': 'MP', 'country': 'UK'}",T8485,chip,POS,"{'latitude': Decimal('-32.627120'), 'longitude': Decimal('2.728738')}",666387,PIN,,0,approved,,,9.0,,,,25aa75de-4244-4462-ab91-508f2ae7c82e,referral,David Hill,1999-03-08,UK,Passport,bb62ddfa,UK,2033-10-06,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,True,85.0,0.0,2021-11-14,China,,,,,,
3fd4469d-8a3a-428f-a074-192717c69e0f,e68a6a78-121d-4017-a7c3-83a0cfc9d0c5,ca8541e3-c8a4-4bda-b5f0-3c519f145e13,POS,2024-11-04 12:16:13,758.4,GBP,5812,Gas,debit,3024.22,Visa,**** **** **** 1580,06/30,Wells Fargo,David Hill,444c67e1-c351-4bea-b220-2d72d2afab11,"Cross, Gilbert and Mccall","{'city': 'Kentland', 'state': 'IN', 'country': 'UK'}",T6538,NFC,POS,"{'latitude': Decimal('78.7159605'), 'longitude': Decimal('-121.640864')}",527037,PIN,,17,approved,,,5.0,,,,dc745a13-1e5e-43ae-b63e-d00835347c9a,direct,David Hill,1999-03-08,UK,Passport,bb62ddfa,UK,2033-10-06,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,True,85.0,1.0,2023-11-14,China,,,,,,
2c764be2-9985-4a74-a16e-3bcc51137a2c,e68a6a78-121d-4017-a7c3-83a0cfc9d0c5,284a2b1d-bfbc-4873-bf2f-ed662847f6fd,POS,2024-10-31 22:18:28,534.85,GBP,5812,Clothing,debit,3219.53,Visa,**** **** **** 1317,03/30,Wells Fargo,David Hill,eeb854d6-74d9-4ffc-adbc-dc8e9ed2114d,Smith-Carter,"{'city': 'Wendyville', 'state': 'IN', 'country': 'UK'}",T4935,swipe,POS,"{'latitude': Decimal('89.8707895'), 'longitude': Decimal('175.058192')}",121464,PIN,,11,approved,,,10.0,,,,6baef44d-38c1-49c7-9460-61778fbfd49f,email,David Hill,1999-03-08,UK,Passport,bb62ddfa,UK,2033-10-06,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,True,85.0,0.0,2023-11-14,China,,,,,,
0bc66a50-5dbf-4057-930d-04f63bdb5bd4,e68a6a78-121d-4017-a7c3-83a0cfc9d0c5,ca8541e3-c8a4-4bda-b5f0-3c519f145e13,POS,2024-10-18 15:39:25,553.55,GBP,5921,Clothing,debit,1855.75,Visa,**** **** **** 4871,04/31,Wells Fargo,David Hill,10877b4d-ce4b-4118-a420-5bbf2b65fa97,"Crawford, Allen and Myers","{'city': 'Jonesstad', 'state': 'DE', 'country': 'UK'}",T2876,swipe,POS,"{'latitude': Decimal('37.1715755'), 'longitude': Decimal('37.573824')}",220081,PIN,,19,approved,,,2.0,,,,2b2225b0-aae2-4c55-b1d1-f49b67811856,direct,David Hill,1999-03-08,UK,Passport,bb62ddfa,UK,2033-10-06,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,True,85.0,2.0,2021-11-14,China,,,,,,
f564c484-dba2-4205-84e1-f8bf9bfa570a,e68a6a78-121d-4017-a7c3-83a0cfc9d0c5,284a2b1d-bfbc-4873-bf2f-ed662847f6fd,POS,2024-10-19 02:32:26,857.59,GBP,5921,Clothing,debit,1129.87,Visa,**** **** **** 4892,01/31,Wells Fargo,David Hill,4166c173-8eb0-44b1-bbd3-14bc75b5f55b,"Franco, Olsen and Hudson","{'city': 'East Curtisside', 'state': 'UT', 'country': 'UK'}",T1860,chip,POS,"{'latitude': Decimal('-0.226356'), 'longitude': Decimal('-57.439687')}",901102,PIN,,0,approved,,,1.0,,,,4bbc09b4-5b45-4ba6-8a65-0ca5fe3570b5,referral,David Hill,1999-03-08,UK,Passport,bb62ddfa,UK,2033-10-06,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,True,85.0,2.0,2022-11-14,China,,,,,,
ec5240e0-c724-4d5b-87dd-836ddca87fd5,e68a6a78-121d-4017-a7c3-83a0cfc9d0c5,284a2b1d-bfbc-4873-bf2f-ed662847f6fd,POS,2024-10-16 05:18:24,443.64,GBP,5999,Electronics,debit,3084.65,Visa,**** **** **** 5476,11/33,Wells Fargo,David Hill,4c81393a-b232-46d3-aefa-1bc771c67d6b,"Delgado, Phelps and Hensley","{'city': 'Thomasstad', 'state': 'NY', 'country': 'UK'}",T7722,chip,POS,"{'latitude': Decimal('16.2949555'), 'longitude': Decimal('-112.879461')}",651390,PIN,,2,approved,,,3.0,,,,863b8f15-9a32-410d-8902-c448e45df8e9,email,David Hill,1999-03-08,UK,Passport,bb62ddfa,UK,2033-10-06,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,True,85.0,2.0,2020-11-14,China,,,,,,
