transaction_id,customer_id,card_id,transaction_type,transaction_date_time,transaction_amount,currency,mcc,description,account_type,account_balance,card_type,card_number_masked,card_expiration_date,card_issuer,cardholder_name,merchant_id,merchant_name,merchant_location,merchant_terminal_id,payment_method,payment_channel,geolocation,authorization_code,authentication_method,3d_secure_status,fraud_risk_score,transaction_status,failure_reason,exchange_rate,rewards_earned,ip_address,device_id,user_agent,session_id,referral_source,kyc_full_name,kyc_date_of_birth,kyc_nationality,kyc_id_type,kyc_id_number,kyc_id_issuing_country,kyc_id_expiration_date,kyc_address,kyc_phone_number,kyc_email,kyc_occupation,kyc_employer_name,kyc_source_of_funds,kyc_annual_income_range,kyc_pep_status,kyc_aml_risk_score,kyc_closed_false_positive_alerts,kyc_frequent_connection_country,kyc_customer_since,companies_directed,sender_name,sender_account_number,sender_bank,sender_location,source
33cbf1a4-6f43-47c1-9e40-b839b6f2cca4,4b25f647-aae4-45ea-a061-26e399bb2a5c,32d24c74-142e-4e97-8de4-64b63fd75490,mobile_app,2024-11-02 20:51:42,165.97,GBP,5411,Restaurant,credit,5689.97,MasterCard,**** **** **** 8807,03/30,Bank of America,Allen Hamilton,23e344fb-e64c-4715-8484-119f9f6315df,Cook-Lawson,"{'city': 'East Randyside', 'state': 'AZ', 'country': 'UK'}",T3543,CNP,mobile_app,"{'latitude': Decimal('-63.2101615'), 'longitude': Decimal('-113.094446')}",818723,PIN,,69,failed,technical error,,10,98.253.10.12,fe3ce180-f191-44a4-8f06-bed42a28077c,,eb04fb18-61b1-4b14-bbe2-894cc00fef14,email,Allen Hamilton,1953-08-11,Zimbabwe,Passport,70496b22,Tonga,2031-11-15,"0615 Bentley Island Apt. 861
Hinesmouth, MS 13179",9303357930,stevenortiz@example.net,Higher education careers adviser,"Abbott, Wilson and Leblanc",business income,<20k,True,10.0,0,,1987-11-23,,,,,,
63801f4d-e40a-4029-a5ff-a133824c6e97,4b25f647-aae4-45ea-a061-26e399bb2a5c,32d24c74-142e-4e97-8de4-64b63fd75490,mobile_app,2024-10-20 09:30:37,467.85,GBP,5812,Clothing,debit,9344.27,Visa,**** **** **** 6183,07/31,Bank of America,Allen Hamilton,39c14949-245c-49fd-9f32-9da8bb9d7c65,"Johnson, Farrell and Fowler","{'city': 'North Barry', 'state': 'WA', 'country': 'UK'}",T5811,CNP,mobile_app,"{'latitude': Decimal('-88.5086725'), 'longitude': Decimal('14.258324')}",668129,PIN,,14,pending,,,4,54.77.164.105,cbb50547-5efe-4c87-b72e-453edb4e6ec0,,d2797e2f-8ab3-471d-9cc6-c5a481b9121b,referral,Allen Hamilton,1953-08-11,Zimbabwe,Passport,70496b22,Tonga,2031-11-15,"0615 Bentley Island Apt. 861
Hinesmouth, MS 13179",9303357930,stevenortiz@example.net,Higher education careers adviser,"Abbott, Wilson and Leblanc",business income,<20k,True,10.0,0,,1987-11-23,,,,,,
fe07182d-41ca-4b0c-b850-62214590dce4,4b25f647-aae4-45ea-a061-26e399bb2a5c,32d24c74-142e-4e97-8de4-64b63fd75490,online,2024-10-21 13:37:21,288.32,GBP,5411,Electronics,credit,5530.83,Visa,**** **** **** 2128,01/34,Bank of America,Allen Hamilton,ff3570cc-072a-4e55-8d07-11b2b0a3f49d,Adams LLC,"{'city': 'Boydshire', 'state': 'FM', 'country': 'UK'}",T6370,CNP,online,"{'latitude': Decimal('24.1923085'), 'longitude': Decimal('59.867768')}",809210,password,Failed,24,pending,insufficient funds,,9,57.90.211.2,94d8ed07-7c76-4cfa-babb-0ae1eb780db0,"Mozilla/5.0 (Windows 95) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/32.0.816.0 Safari/533.0",81c11a87-4bc6-4748-9f19-3144885d9e97,social media,Allen Hamilton,1953-08-11,Zimbabwe,Passport,70496b22,Tonga,2031-11-15,"0615 Bentley Island Apt. 861
Hinesmouth, MS 13179",9303357930,stevenortiz@example.net,Higher education careers adviser,"Abbott, Wilson and Leblanc",business income,<20k,True,10.0,0,,1987-11-23,,,,,,
5bb0dd5c-c5ac-420e-89bb-a8f7ab11e5ed,4b25f647-aae4-45ea-a061-26e399bb2a5c,32d24c74-142e-4e97-8de4-64b63fd75490,online,2024-11-04 00:21:22,737.01,GBP,5735,Grocery,saving,7721.21,Visa,**** **** **** 3384,06/27,Bank of America,Allen Hamilton,9350c8f2-c9dc-4356-a55e-cadf645042ff,"Meyer, Kelly and Taylor","{'city': 'South Jacob', 'state': 'CA', 'country': 'UK'}",T5705,CNP,online,"{'latitude': Decimal('-55.733291'), 'longitude': Decimal('30.790609')}",771521,PIN,Failed,6,pending,fraud detected,,3,85.117.30.17,fb132448-f7e5-4927-b908-69fe7d41098a,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/7790-10-15 05:21:32 Firefox/3.6.4,6899a688-9f5c-4e0e-8493-26326ee6748c,social media,Allen Hamilton,1953-08-11,Zimbabwe,Passport,70496b22,Tonga,2031-11-15,"0615 Bentley Island Apt. 861
Hinesmouth, MS 13179",9303357930,stevenortiz@example.net,Higher education careers adviser,"Abbott, Wilson and Leblanc",business income,<20k,True,10.0,0,,1987-11-23,,,,,,
77f0c9d8-a8c3-4cd8-9d7c-8a83af99963f,2b9bbea7-808b-4b26-baa8-1628076c822e,be253a8c-1190-470e-ba26-ca45e1816e97,online,2024-10-26 03:49:15,276.36,GBP,5921,Gas,credit,9375.61,MasterCard,**** **** **** 8204,04/25,Bank of America,Ann Jones,02094ae3-33c4-43e0-afa0-e5ea87364898,"Johnson, Wood and Miller","{'city': 'Adamfort', 'state': 'NM', 'country': 'UK'}",T7011,CNP,online,"{'latitude': Decimal('77.672233'), 'longitude': Decimal('-50.449044')}",135828,password,Passed,48,approved,insufficient funds,,2,120.50.175.11,19c05cd0-4042-49a5-a56c-0b9b42ec97eb,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/18.0.806.0 Safari/531.2",b183d021-81e1-400c-8890-29a7bea7888e,email,Ann Jones,1980-11-18,Saint Pierre and Miquelon,Driver's License,57b6d745,Wallis and Futuna,2031-05-11,"488 Aguilar Bypass
Nguyenmouth, UT 60906",681-532-6650x664,burnschristina@example.net,Museum/gallery exhibitions officer,Peters-Anderson,salary,50k-100k,False,6.0,0,,1994-11-21,,,,,,
d4d4ec95-5b0b-4c5b-831d-9b44f557aacd,2b9bbea7-808b-4b26-baa8-1628076c822e,be253a8c-1190-470e-ba26-ca45e1816e97,POS,2024-11-07 12:38:53,220.68,CAD,5735,Grocery,debit,8938.08,Visa,**** **** **** 2823,09/30,Bank of America,Ann Jones,073a1975-e0a9-4550-ae62-96701b42bec9,"Price, Benson and Smith","{'city': 'Josephburgh', 'state': 'AS', 'country': 'CI'}",T8772,NFC,POS,"{'latitude': Decimal('84.841746'), 'longitude': Decimal('-23.122274')}",107728,PIN,,29,pending,technical error,1.14,3,,,,fd6c367f-a8cd-4111-bbac-cc643b7e4f0e,email,Ann Jones,1980-11-18,Saint Pierre and Miquelon,Driver's License,57b6d745,Wallis and Futuna,2031-05-11,"488 Aguilar Bypass
Nguyenmouth, UT 60906",681-532-6650x664,burnschristina@example.net,Museum/gallery exhibitions officer,Peters-Anderson,salary,50k-100k,False,6.0,0,,1994-11-21,,,,,,
883589c7-677f-474c-918a-43a1d0a923fc,4b25f647-aae4-45ea-a061-26e399bb2a5c,32d24c74-142e-4e97-8de4-64b63fd75490,online,2024-10-29 19:23:54,44.01,GBP,5999,Clothing,saving,7392.94,Visa,**** **** **** 2071,11/31,Bank of America,Allen Hamilton,a339d172-ca95-4440-953c-4af7e7c4aa62,Taylor-West,"{'city': 'Smithchester', 'state': 'VI', 'country': 'UK'}",T4958,CNP,online,"{'latitude': Decimal('42.7383215'), 'longitude': Decimal('-113.496401')}",622008,PIN,Failed,19,pending,insufficient funds,,9,19.32.73.123,8a76f4b2-00e7-4728-9ce0-796921dcb56d,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_2; rv:1.9.3.20) Gecko/7567-06-06 12:25:07 Firefox/10.0,24d22890-0173-42bf-ba36-a8702800601b,direct,Allen Hamilton,1953-08-11,Zimbabwe,Passport,70496b22,Tonga,2031-11-15,"0615 Bentley Island Apt. 861
Hinesmouth, MS 13179",9303357930,stevenortiz@example.net,Higher education careers adviser,"Abbott, Wilson and Leblanc",business income,<20k,True,10.0,0,,1987-11-23,,,,,,
4a0eed81-f8de-4f9a-813f-49ebe91b7856,2b9bbea7-808b-4b26-baa8-1628076c822e,4c075797-c418-4786-b053-40fce1d76ec1,online,2024-10-27 23:51:23,433.69,GBP,5921,Clothing,credit,7227.96,MasterCard,**** **** **** 7452,07/32,CitiBank,Ann Jones,39c14949-245c-49fd-9f32-9da8bb9d7c65,"Johnson, Farrell and Fowler","{'city': 'North Barry', 'state': 'WA', 'country': 'UK'}",T5811,CNP,online,"{'latitude': Decimal('81.8460265'), 'longitude': Decimal('-126.487137')}",480249,biometric,Passed,13,pending,technical error,,4,141.111.77.88,21333635-807a-4967-ae04-a905e0410dd3,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; be-BY) AppleWebKit/535.31.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6535.31.3",18a7a35b-05f9-493f-8398-5fb6e12da7dd,email,Ann Jones,1980-11-18,Saint Pierre and Miquelon,Driver's License,57b6d745,Wallis and Futuna,2031-05-11,"488 Aguilar Bypass
Nguyenmouth, UT 60906",681-532-6650x664,burnschristina@example.net,Museum/gallery exhibitions officer,Peters-Anderson,salary,50k-100k,False,6.0,0,,1994-11-21,,,,,,
9b593133-7a21-455e-b40c-13c6cefb5993,4b25f647-aae4-45ea-a061-26e399bb2a5c,32d24c74-142e-4e97-8de4-64b63fd75490,POS,2024-10-25 19:17:08,274.47,GBP,5735,Electronics,credit,8000.39,Visa,**** **** **** 5427,05/31,Bank of America,Allen Hamilton,03f4410f-0a38-4823-8a04-b9817a3686e3,"Fox, Manning and Gardner","{'city': 'Laurastad', 'state': 'MO', 'country': 'UK'}",T1366,NFC,POS,"{'latitude': Decimal('29.353494'), 'longitude': Decimal('178.180485')}",705781,biometric,,56,pending,technical error,,10,,,,75219e96-64f5-4659-a990-ba8fc3120ed1,referral,Allen Hamilton,1953-08-11,Zimbabwe,Passport,70496b22,Tonga,2031-11-15,"0615 Bentley Island Apt. 861
Hinesmouth, MS 13179",9303357930,stevenortiz@example.net,Higher education careers adviser,"Abbott, Wilson and Leblanc",business income,<20k,True,10.0,0,,1987-11-23,,,,,,
381de965-7862-4628-9327-9f9578f670ef,4b25f647-aae4-45ea-a061-26e399bb2a5c,32d24c74-142e-4e97-8de4-64b63fd75490,mobile_app,2024-11-08 18:39:29,287.72,GBP,5999,Gas,debit,4458.08,Visa,**** **** **** 2503,02/34,Bank of America,Allen Hamilton,a339d172-ca95-4440-953c-4af7e7c4aa62,Taylor-West,"{'city': 'Smithchester', 'state': 'VI', 'country': 'UK'}",T4958,CNP,mobile_app,"{'latitude': Decimal('-16.5170615'), 'longitude': Decimal('123.166895')}",900691,password,,69,pending,insufficient funds,,7,17.234.74.216,6268aff9-d32f-434f-9120-a7fb357c8b37,,8be66f70-5107-4228-a523-bb0ad717cce6,direct,Allen Hamilton,1953-08-11,Zimbabwe,Passport,70496b22,Tonga,2031-11-15,"0615 Bentley Island Apt. 861
Hinesmouth, MS 13179",9303357930,stevenortiz@example.net,Higher education careers adviser,"Abbott, Wilson and Leblanc",business income,<20k,True,10.0,0,,1987-11-23,,,,,,
