transaction_id,customer_id,card_id,transaction_type,transaction_date_time,transaction_amount,currency,mcc,description,account_type,account_balance,card_type,card_number_masked,card_expiration_date,card_issuer,cardholder_name,merchant_id,merchant_name,merchant_location,merchant_terminal_id,payment_method,payment_channel,geolocation,authorization_code,authentication_method,3d_secure_status,fraud_risk_score,transaction_status,failure_reason,exchange_rate,rewards_earned,ip_address,device_id,user_agent,session_id,referral_source,kyc_full_name,kyc_customer_since,kyc_closed_false_positive_alerts,kyc_frequent_connection_country,kyc_address,kyc_aml_risk_score,kyc_annual_income_range,kyc_date_of_birth,kyc_email,kyc_employer_name,kyc_id_expiration_date,kyc_id_issuing_country,kyc_id_type,kyc_id_number,kyc_occupation,kyc_nationality,kyc_phone_number,kyc_pep_status,kyc_source_of_funds,companies_directed
e348b61f-8556-4329-96de-e56a7a812876,e3d38dd2-4834-4817-b881-4ff343a6d8f7,87a5edb5-5904-4513-8c8a-cbcca029fb46,NFC,2024-11-01 15:27:19,2676.95,GBP,5999,Trading Export Company,personal,5845.07,MasterCard,**** **** **** 7520,04/29,Barclays,Andrew Martin,00f1b4ea-48aa-4a30-b672-66246168ada0,South Sudan Trading Export,"{'city': 'East Scottshire', 'state': None, 'country': 'South Sudan'}",T7965,NFC,POS,"{'latitude': Decimal('-27.7494955'), 'longitude': Decimal('-5.530087')}",794344,PIN,,16,approved,,,5,134.224.165.117,e149be33-b523-40b9-ae28-1bd542af1a08,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.31.6 (KHTML, like Gecko) Version/5.0 Safari/533.31.6",0ecd3d47-4443-4b13-abb5-ee0babc16091,direct,Andrew Martin,2004-11-18,50,South Sudan,"31457 Harper Isle
Knightview, VT 23518",85,<20k,2002-04-21,anthonyritter@example.net,,2033-09-01,UK,Passport,cc311335,Student,UK,641-629-1225,True,Gift,
6acc4203-cb25-43d7-a896-474ca49498f7,e3d38dd2-4834-4817-b881-4ff343a6d8f7,87a5edb5-5904-4513-8c8a-cbcca029fb46,NFC,2024-11-13 05:57:57,3950.82,GBP,5999,Trading Export Company,personal,9298.46,MasterCard,**** **** **** 3980,08/30,Barclays,Andrew Martin,33cdf952-3f85-43e9-b2ec-56bb6e40f76c,South Sudan Trading Export,"{'city': 'Port Lawrenceshire', 'state': None, 'country': 'South Sudan'}",T5697,NFC,POS,"{'latitude': Decimal('82.689576'), 'longitude': Decimal('-8.782145')}",661731,PIN,,3,approved,,,4,30.29.13.238,4dad0aee-a822-472b-8fb9-d33cd8524fc4,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0),7cb41886-92c8-40af-be7f-ed31d73df7ea,direct,Andrew Martin,2004-11-18,50,South Sudan,"31457 Harper Isle
Knightview, VT 23518",85,<20k,2002-04-21,anthonyritter@example.net,,2033-09-01,UK,Passport,cc311335,Student,UK,641-629-1225,True,Gift,
e99a4170-bc08-40bd-8539-863f01cd376f,e3d38dd2-4834-4817-b881-4ff343a6d8f7,473d0e53-dda3-401b-b428-1a9e635b3c06,POS,2024-09-26 01:25:01,1764.68,GBP,5735,Fuel,personal,1597.89,Visa,**** **** **** 7419,11/27,Lloyds,Andrew Martin,32ace49f-ed50-473a-8411-bff7bc4871c3,Bates-Ross,"{'city': 'New Jamesview', 'state': 'MP', 'country': 'UK'}",T3721,NFC,POS,"{'latitude': Decimal('47.421617'), 'longitude': Decimal('-51.870432')}",996881,PIN,,4,approved,,,3,,,,16f09a70-6726-4966-8cd6-e13ac5ba08f4,social media,Andrew Martin,2004-11-18,50,South Sudan,"31457 Harper Isle
Knightview, VT 23518",85,<20k,2002-04-21,anthonyritter@example.net,,2033-09-01,UK,Passport,cc311335,Student,UK,641-629-1225,True,Gift,
5a2bf2da-a414-4cef-b90a-8f3214a14a17,e3d38dd2-4834-4817-b881-4ff343a6d8f7,87a5edb5-5904-4513-8c8a-cbcca029fb46,POS,2024-08-08 09:07:03,1960.5,GBP,5812,Fuel,personal,2716.55,Visa,**** **** **** 4480,11/32,Barclays,Andrew Martin,757adb53-6d39-40f8-917f-dcb778c56543,Rodriguez-Mcconnell,"{'city': 'West Sarabury', 'state': 'MT', 'country': 'UK'}",T5491,NFC,POS,"{'latitude': Decimal('-17.3780805'), 'longitude': Decimal('-88.042228')}",148937,PIN,,2,approved,,,6,,,,3fffea41-498c-4fb5-b36d-f686c2408146,email,Andrew Martin,2004-11-18,50,South Sudan,"31457 Harper Isle
Knightview, VT 23518",85,<20k,2002-04-21,anthonyritter@example.net,,2033-09-01,UK,Passport,cc311335,Student,UK,641-629-1225,True,Gift,
6c8f608d-9aed-4123-878a-fe5ec50b9d85,e3d38dd2-4834-4817-b881-4ff343a6d8f7,87a5edb5-5904-4513-8c8a-cbcca029fb46,POS,2024-06-09 21:30:15,3667.47,GBP,5921,Grocery,personal,7372.52,Visa,**** **** **** 5190,11/27,Barclays,Andrew Martin,5bd94ad7-6034-4a72-a4c7-77891db75601,"Hamilton, Hawkins and Ramirez","{'city': 'Taylorland', 'state': 'VT', 'country': 'UK'}",T4153,NFC,POS,"{'latitude': Decimal('83.726697'), 'longitude': Decimal('-57.474112')}",764450,PIN,,12,approved,,,1,,,,321b8171-ef71-4e4a-b6be-573a7eabe544,direct,Andrew Martin,2004-11-18,50,South Sudan,"31457 Harper Isle
Knightview, VT 23518",85,<20k,2002-04-21,anthonyritter@example.net,,2033-09-01,UK,Passport,cc311335,Student,UK,641-629-1225,True,Gift,
cf2709b9-a936-4030-b59c-4aa4f1870e68,e3d38dd2-4834-4817-b881-4ff343a6d8f7,473d0e53-dda3-401b-b428-1a9e635b3c06,POS,2024-10-11 14:13:34,4626.76,GBP,5921,Shopping,personal,6125.03,Visa,**** **** **** 6816,01/26,Lloyds,Andrew Martin,39f65413-daec-4cae-959a-32df2717690b,Wilson and Sons,"{'city': 'West Tammy', 'state': 'PW', 'country': 'UK'}",T1046,NFC,POS,"{'latitude': Decimal('51.7722405'), 'longitude': Decimal('-91.548463')}",532970,PIN,,1,approved,,,4,,,,a35008ed-22e4-42d7-974f-bc444f232300,social media,Andrew Martin,2004-11-18,50,South Sudan,"31457 Harper Isle
Knightview, VT 23518",85,<20k,2002-04-21,anthonyritter@example.net,,2033-09-01,UK,Passport,cc311335,Student,UK,641-629-1225,True,Gift,
aa859fa2-7c7f-4f5b-a5c0-c5e75c0c54f4,e3d38dd2-4834-4817-b881-4ff343a6d8f7,87a5edb5-5904-4513-8c8a-cbcca029fb46,POS,2024-09-17 22:25:56,809.26,GBP,5921,Grocery,personal,7640.92,Visa,**** **** **** 4785,12/30,Barclays,Andrew Martin,58b3caaf-7055-44a4-bf6b-cf5434690387,Villanueva-Powell,"{'city': 'Jacksonburgh', 'state': 'MI', 'country': 'UK'}",T2291,swipe,POS,"{'latitude': Decimal('22.8590285'), 'longitude': Decimal('59.223686')}",693125,PIN,,14,approved,,,7,,,,7aac5ee8-fd1f-4cf9-a547-9f885a2962f3,social media,Andrew Martin,2004-11-18,50,South Sudan,"31457 Harper Isle
Knightview, VT 23518",85,<20k,2002-04-21,anthonyritter@example.net,,2033-09-01,UK,Passport,cc311335,Student,UK,641-629-1225,True,Gift,
81743345-0c1b-4624-b24c-e6b61beec2e4,e3d38dd2-4834-4817-b881-4ff343a6d8f7,473d0e53-dda3-401b-b428-1a9e635b3c06,POS,2024-07-16 16:47:24,2049.84,GBP,5921,Shopping,personal,1788.91,Visa,**** **** **** 3448,01/29,Lloyds,Andrew Martin,b1217488-0a52-4407-a10c-e63fc8a6d228,"Ruiz, Gibson and Robinson","{'city': 'Lake Christopherton', 'state': 'NH', 'country': 'UK'}",T2956,swipe,POS,"{'latitude': Decimal('-9.3116265'), 'longitude': Decimal('48.594749')}",705135,PIN,,19,approved,,,2,,,,56942216-9be7-4553-9dfa-d4709329a83b,email,Andrew Martin,2004-11-18,50,South Sudan,"31457 Harper Isle
Knightview, VT 23518",85,<20k,2002-04-21,anthonyritter@example.net,,2033-09-01,UK,Passport,cc311335,Student,UK,641-629-1225,True,Gift,
0dc98613-c028-407a-8249-b07fc1d89b4b,e3d38dd2-4834-4817-b881-4ff343a6d8f7,473d0e53-dda3-401b-b428-1a9e635b3c06,POS,2024-10-16 15:42:18,4695.43,GBP,5411,Shopping,personal,2910.29,Visa,**** **** **** 2582,04/27,Lloyds,Andrew Martin,0fa206b3-5a5e-4c3c-87bd-a668282f40a8,Summers-Hudson,"{'city': 'North Thomasside', 'state': 'UT', 'country': 'UK'}",T2018,NFC,POS,"{'latitude': Decimal('-37.928064'), 'longitude': Decimal('73.580890')}",724131,PIN,,19,approved,,,5,,,,d2d26880-958c-41c3-8a6a-b5d0585cdb42,email,Andrew Martin,2004-11-18,50,South Sudan,"31457 Harper Isle
Knightview, VT 23518",85,<20k,2002-04-21,anthonyritter@example.net,,2033-09-01,UK,Passport,cc311335,Student,UK,641-629-1225,True,Gift,
66d864f2-9a19-4658-9e3a-59d04459a141,e3d38dd2-4834-4817-b881-4ff343a6d8f7,87a5edb5-5904-4513-8c8a-cbcca029fb46,POS,2024-08-15 01:12:18,3651.18,GBP,5921,Dining,personal,9514.34,Visa,**** **** **** 9956,01/29,Barclays,Andrew Martin,37bbee48-174a-40f5-b392-d2ad88ffd886,"Gregory, Patel and Kelly","{'city': 'West Lee', 'state': 'OH', 'country': 'UK'}",T3257,swipe,POS,"{'latitude': Decimal('75.386746'), 'longitude': Decimal('-131.562033')}",501520,PIN,,3,approved,,,6,,,,df198cdc-7649-4e85-99d7-d0819dfa45dc,direct,Andrew Martin,2004-11-18,50,South Sudan,"31457 Harper Isle
Knightview, VT 23518",85,<20k,2002-04-21,anthonyritter@example.net,,2033-09-01,UK,Passport,cc311335,Student,UK,641-629-1225,True,Gift,
