transaction_id,customer_id,card_id,transaction_type,transaction_date_time,transaction_amount,currency,mcc,description,account_type,account_balance,card_type,card_number_masked,card_expiration_date,card_issuer,cardholder_name,merchant_id,merchant_name,merchant_location,merchant_terminal_id,payment_method,payment_channel,geolocation,authorization_code,authentication_method,3d_secure_status,fraud_risk_score,transaction_status,failure_reason,exchange_rate,rewards_earned,ip_address,device_id,user_agent,session_id,referral_source,kyc_full_name,kyc_date_of_birth,kyc_nationality,kyc_id_type,kyc_id_number,kyc_id_issuing_country,kyc_id_expiration_date,kyc_address,kyc_phone_number,kyc_email,kyc_occupation,kyc_employer_name,kyc_source_of_funds,kyc_annual_income_range,kyc_pep_status,kyc_aml_risk_score,kyc_closed_false_positive_alerts,kyc_customer_since,kyc_frequent_connection_country,companies_directed,sender_name,sender_account_number,sender_bank,sender_location,source
e7f4e6ee-134b-43a9-8434-102bb96883c3,019b0ddc-f82d-4834-ae24-bbc35df9f07b,11784c20-ed82-4f77-98c9-4ea1d45dfde3,POS,2024-10-17 21:20:27,735.19,GBP,5812,Electronics,debit,1106.89,Visa,**** **** **** 6813,09/26,CitiBank,David Hill,ac7fb52a-3a9e-4159-99d0-0ba65686a9b8,Nguyen and Sons,"{'city': 'Kristimouth', 'state': 'NY', 'country': 'UK'}",T3212,NFC,POS,"{'latitude': Decimal('-58.3286355'), 'longitude': Decimal('4.263211')}",142686,PIN,,15,approved,,,8.0,,,,29656398-0315-423c-b539-2fab648aa4f3,referral,David Hill,2000-02-05,UK,Passport,1102c0f7,UK,2031-05-09,"PSC 9404, Box 9666
APO AA 57378",326.938.9675x0132,timperez@example.org,Student,,Gift,<20k,True,85.0,1.0,1.0,China,,,,,,
89bc00e6-0b02-4b76-a7db-a8dc7608977b,019b0ddc-f82d-4834-ae24-bbc35df9f07b,11784c20-ed82-4f77-98c9-4ea1d45dfde3,POS,2024-10-25 10:22:13,960.66,GBP,5411,Grocery,debit,4711.91,Visa,**** **** **** 8422,03/30,CitiBank,David Hill,ca4e9aae-2ea6-4a87-840a-d220101a8fe2,Macdonald-Houston,"{'city': 'New Nicole', 'state': 'OK', 'country': 'UK'}",T8322,swipe,POS,"{'latitude': Decimal('4.3629745'), 'longitude': Decimal('-27.525907')}",577247,PIN,,8,approved,,,3.0,,,,1a6c77bb-d30e-411a-8e75-7c1b37b65301,direct,David Hill,2000-02-05,UK,Passport,1102c0f7,UK,2031-05-09,"PSC 9404, Box 9666
APO AA 57378",326.938.9675x0132,timperez@example.org,Student,,Gift,<20k,True,85.0,2.0,0.0,China,,,,,,
71bd73e0-81e9-4a9d-a5b4-cdbcdb213afb,019b0ddc-f82d-4834-ae24-bbc35df9f07b,11784c20-ed82-4f77-98c9-4ea1d45dfde3,POS,2024-10-21 01:46:53,524.07,GBP,5812,Gas,debit,1884.06,Visa,**** **** **** 4610,01/34,CitiBank,David Hill,74cb9c1e-9e56-442b-b3cc-7b4c706f5cb6,Alexander PLC,"{'city': 'Richardmouth', 'state': 'MT', 'country': 'UK'}",T3426,NFC,POS,"{'latitude': Decimal('29.674028'), 'longitude': Decimal('29.412768')}",167855,PIN,,5,approved,,,7.0,,,,8b5aac17-1cc3-4437-8ae1-e4522086aa58,direct,David Hill,2000-02-05,UK,Passport,1102c0f7,UK,2031-05-09,"PSC 9404, Box 9666
APO AA 57378",326.938.9675x0132,timperez@example.org,Student,,Gift,<20k,True,85.0,0.0,4.0,China,,,,,,
36464da2-135f-4170-924d-109557fd8c83,019b0ddc-f82d-4834-ae24-bbc35df9f07b,11784c20-ed82-4f77-98c9-4ea1d45dfde3,POS,2024-10-26 05:05:41,948.04,GBP,5411,Restaurant,debit,1584.49,Visa,**** **** **** 6894,06/30,CitiBank,David Hill,553f0d95-5f87-4e6a-80f5-3562fb0800ab,Wallace-Martinez,"{'city': 'Judithburgh', 'state': 'MN', 'country': 'UK'}",T3376,NFC,POS,"{'latitude': Decimal('-35.595955'), 'longitude': Decimal('-158.222292')}",849598,PIN,,9,approved,,,9.0,,,,86c737ad-abc3-4774-931c-08bfa6120343,social media,David Hill,2000-02-05,UK,Passport,1102c0f7,UK,2031-05-09,"PSC 9404, Box 9666
APO AA 57378",326.938.9675x0132,timperez@example.org,Student,,Gift,<20k,True,85.0,1.0,0.0,China,,,,,,
fd347993-2100-4b8e-a29f-10a34662e56b,019b0ddc-f82d-4834-ae24-bbc35df9f07b,baddd35d-61be-48b7-9b3e-67cf77971fce,POS,2024-10-26 12:21:47,601.86,GBP,5999,Electronics,debit,3930.67,Visa,**** **** **** 4688,11/24,Bank of America,David Hill,d36d28ec-975c-403b-8a4f-edfe1ce824ab,Holland-Jenkins,"{'city': 'Alexisville', 'state': 'IN', 'country': 'UK'}",T9798,chip,POS,"{'latitude': Decimal('11.265771'), 'longitude': Decimal('96.417814')}",401141,PIN,,9,approved,,,9.0,,,,cbf31eb4-5ab2-4cba-a5ed-e613d8d0958c,referral,David Hill,2000-02-05,UK,Passport,1102c0f7,UK,2031-05-09,"PSC 9404, Box 9666
APO AA 57378",326.938.9675x0132,timperez@example.org,Student,,Gift,<20k,True,85.0,2.0,2.0,China,,,,,,
ea0ad9d1-8717-455f-b230-7cca5f0ca671,019b0ddc-f82d-4834-ae24-bbc35df9f07b,baddd35d-61be-48b7-9b3e-67cf77971fce,POS,2024-11-12 11:43:40,176.52,GBP,5921,Electronics,debit,4926.73,Visa,**** **** **** 2714,01/25,Bank of America,David Hill,e7bdeaad-29ff-4974-9fad-12eaf71c7f5e,Roberson-Sanchez,"{'city': 'Timothybury', 'state': 'DC', 'country': 'UK'}",T4102,swipe,POS,"{'latitude': Decimal('-50.577481'), 'longitude': Decimal('-81.829329')}",353738,PIN,,12,approved,,,2.0,,,,08775af9-6c20-41ba-b84f-89eb8f76a07c,referral,David Hill,2000-02-05,UK,Passport,1102c0f7,UK,2031-05-09,"PSC 9404, Box 9666
APO AA 57378",326.938.9675x0132,timperez@example.org,Student,,Gift,<20k,True,85.0,1.0,5.0,China,,,,,,
f6184882-143d-449f-9418-69cae41e47ab,019b0ddc-f82d-4834-ae24-bbc35df9f07b,baddd35d-61be-48b7-9b3e-67cf77971fce,POS,2024-10-29 05:08:43,874.84,GBP,5735,Restaurant,debit,2138.85,Visa,**** **** **** 8482,09/25,Bank of America,David Hill,dbd3c3f3-c649-420b-83f6-db2a2e0bd9c9,Fleming Group,"{'city': 'Sarahbury', 'state': 'NY', 'country': 'UK'}",T6464,NFC,POS,"{'latitude': Decimal('73.466919'), 'longitude': Decimal('-154.323926')}",288114,PIN,,14,approved,,,0.0,,,,288e1365-deca-4e3d-bf54-df02e60f088d,referral,David Hill,2000-02-05,UK,Passport,1102c0f7,UK,2031-05-09,"PSC 9404, Box 9666
APO AA 57378",326.938.9675x0132,timperez@example.org,Student,,Gift,<20k,True,85.0,0.0,4.0,China,,,,,,
bb05ca42-0c91-438b-baa0-f4e4510c00fb,019b0ddc-f82d-4834-ae24-bbc35df9f07b,11784c20-ed82-4f77-98c9-4ea1d45dfde3,POS,2024-10-23 18:12:14,775.79,GBP,5735,Gas,debit,3520.37,Visa,**** **** **** 8477,04/32,CitiBank,David Hill,6d090a12-3317-4695-93e4-4d1890d89a54,Lucas-Murray,"{'city': 'New Dakota', 'state': 'CT', 'country': 'UK'}",T7591,NFC,POS,"{'latitude': Decimal('52.7645855'), 'longitude': Decimal('20.472758')}",221441,PIN,,15,approved,,,9.0,,,,a68474c4-0ec1-448d-b75e-b19ae7cb2b43,social media,David Hill,2000-02-05,UK,Passport,1102c0f7,UK,2031-05-09,"PSC 9404, Box 9666
APO AA 57378",326.938.9675x0132,timperez@example.org,Student,,Gift,<20k,True,85.0,1.0,2.0,China,,,,,,
490a7ead-d3ba-4d44-baee-ce2aae043863,019b0ddc-f82d-4834-ae24-bbc35df9f07b,11784c20-ed82-4f77-98c9-4ea1d45dfde3,POS,2024-10-26 02:36:01,652.03,GBP,5999,Grocery,debit,3135.4,Visa,**** **** **** 7537,12/30,CitiBank,David Hill,25cfbf3e-920d-476d-a764-908e2651d302,Johnson Ltd,"{'city': 'Harrisonshire', 'state': 'HI', 'country': 'UK'}",T9232,chip,POS,"{'latitude': Decimal('59.517215'), 'longitude': Decimal('-80.441051')}",971168,PIN,,9,approved,,,6.0,,,,feeb41e5-579d-4993-bec8-3e64252d16b0,social media,David Hill,2000-02-05,UK,Passport,1102c0f7,UK,2031-05-09,"PSC 9404, Box 9666
APO AA 57378",326.938.9675x0132,timperez@example.org,Student,,Gift,<20k,True,85.0,1.0,1.0,China,,,,,,
1f4fa7be-fc78-42ea-bb45-099f9fc0daa1,019b0ddc-f82d-4834-ae24-bbc35df9f07b,baddd35d-61be-48b7-9b3e-67cf77971fce,POS,2024-10-15 18:46:56,272.25,GBP,5735,Grocery,debit,3744.75,Visa,**** **** **** 7398,05/26,Bank of America,David Hill,2f4db43a-398c-4717-998c-b1f9a1b7e69b,"Hurley, Ramos and Cook","{'city': 'South James', 'state': 'MH', 'country': 'UK'}",T8564,swipe,POS,"{'latitude': Decimal('-74.394896'), 'longitude': Decimal('-69.319706')}",446714,PIN,,8,approved,,,1.0,,,,2695216e-9215-49da-a523-e476d3c5b20b,social media,David Hill,2000-02-05,UK,Passport,1102c0f7,UK,2031-05-09,"PSC 9404, Box 9666
APO AA 57378",326.938.9675x0132,timperez@example.org,Student,,Gift,<20k,True,85.0,1.0,3.0,China,,,,,,
